date, value
1/3/1974,11.2416
1/4/1974,10.333
1/5/1974,9.9863
1/6/1974,9.8398
1/7/1974,8.7058
1/8/1974,7.9199
1/9/1974,6.9748
1/10/1974,8.3127
1/11/1974,7.8706
1/12/1974,7.712
1/1/1975,9.1101
1/2/1975,9.6556
1/3/1975,9.8651
1/4/1975,10.9673
1/5/1975,11.451
1/6/1975,11.9585
1/7/1975,11.4369
1/8/1975,11.1959
1/9/1975,10.808
1/10/1975,11.1859
1/11/1975,11.4623
1/12/1975,11.3304
1/1/1976,11.6467
1/2/1976,11.5139
1/3/1976,11.8672
1/4/1976,10.9881
1/5/1976,10.8303
1/6/1976,11.2735
1/7/1976,10.8314
1/8/1976,10.7759
1/9/1976,11.0199
1/10/1976,10.3835
1/11/1976,10.3027
1/12/1976,10.8436
1/1/1977,10.122
1/2/1977,9.9028
1/3/1977,9.7639
1/4/1977,9.4472
1/5/1977,9.2246
1/6/1977,9.643
1/7/1977,9.2297
1/8/1977,9.0355
1/9/1977,9.0131
1/10/1977,8.4793
1/11/1977,8.708
1/12/1977,8.7328
1/1/1978,8.1731
1/2/1978,7.9707
1/3/1978,8.1694
1/4/1978,8.6224
1/5/1978,8.6589
1/6/1978,8.5067
1/7/1978,8.7018
1/8/1978,8.9274
1/9/1978,8.8626
1/10/1978,7.5547
1/11/1978,7.6805
1/12/1978,7.7948
1/1/1979,7.5135
1/2/1979,7.2391
1/3/1979,7.6383
1/4/1979,7.279
1/5/1979,7.0873
1/6/1979,7.3612
1/7/1979,7.0957
1/8/1979,7.4723
1/9/1979,7.4723
1/10/1979,6.852
1/11/1979,7.144
1/12/1979,7.2638
1/1/1980,7.4663
1/2/1980,7.4336
1/3/1980,6.6769
1/4/1980,7.1145
1/5/1980,7.4458
1/6/1980,7.6466
1/7/1980,8.3108
1/8/1980,8.3593
1/9/1980,8.5697
1/10/1980,8.6012
1/11/1980,9.4818
1/12/1980,9.1606
1/1/1981,8.8855
1/2/1981,9.0034
1/3/1981,9.3278
1/4/1981,8.8481
1/5/1981,8.8334
1/6/1981,8.7415
1/7/1981,8.5737
1/8/1981,8.0413
1/9/1981,7.6084
1/10/1981,7.9355
1/11/1981,8.2259
1/12/1981,7.9785
1/1/1982,8.1296
1/2/1982,7.6374
1/3/1982,7.5598
1/4/1982,8.2174
1/5/1982,7.8956
1/6/1982,7.7354
1/7/1982,7.8975
1/8/1982,8.8134
1/9/1982,8.8805
1/10/1982,10.5791
